NYC rows total: 7995
Cache: 232 entries loaded
  25/7995  (google=23 geosearch=32)
  5925/7995  (google=1890 geosearch=2448)
  5950/7995  (google=1892 geosearch=2450)
  5975/7995  (google=1892 geosearch=2450)
  6000/7995  (google=1896 geosearch=2456)
  6025/7995  (google=1897 geosearch=2457)
  6050/7995  (google=1902 geosearch=2463)
  6075/7995  (google=1908 geosearch=2472)
  6100/7995  (google=1926 geosearch=2496)
  6125/7995  (google=1945 geosearch=2523)
  6150/7995  (google=1960 geosearch=2539)
  6175/7995  (google=1980 geosearch=2562)
  6200/7995  (google=1996 geosearch=2580)
  6225/7995  (google=2013 geosearch=2603)
  6250/7995  (google=2031 geosearch=2628)
  6275/7995  (google=2049 geosearch=2651)
  6300/7995  (google=2064 geosearch=2668)
  6325/7995  (google=2075 geosearch=2681)
  6350/7995  (google=2086 geosearch=2695)
  6375/7995  (google=2102 geosearch=2713)
  6400/7995  (google=2125 geosearch=2743)
  6425/7995  (google=2138 geosearch=2756)
  6450/7995  (google=2158 geosearch=2778)
  6475/7995  (google=2173 geosearch=2795)
  6500/7995  (google=2189 geosearch=2812)
  6525/7995  (google=2207 geosearch=2834)
  6550/7995  (google=2219 geosearch=2855)
  6575/7995  (google=2231 geosearch=2867)
  6600/7995  (google=2241 geosearch=2877)
  6625/7995  (google=2246 geosearch=2884)
  6650/7995  (google=2263 geosearch=2901)
  6675/7995  (google=2281 geosearch=2925)
  6700/7995  (google=2286 geosearch=2930)
  6725/7995  (google=2292 geosearch=2937)
  6750/7995  (google=2303 geosearch=2949)
  6775/7995  (google=2316 geosearch=2965)
  6800/7995  (google=2326 geosearch=2976)
  6825/7995  (google=2330 geosearch=2980)
  6850/7995  (google=2337 geosearch=2989)
  6875/7995  (google=2348 geosearch=3005)
  6900/7995  (google=2357 geosearch=3016)
  6925/7995  (google=2365 geosearch=3026)
  6950/7995  (google=2372 geosearch=3033)
  6975/7995  (google=2380 geosearch=3043)
  7000/7995  (google=2395 geosearch=3064)
  7025/7995  (google=2397 geosearch=3067)
  7050/7995  (google=2408 geosearch=3079)
  7075/7995  (google=2418 geosearch=3093)
  7100/7995  (google=2430 geosearch=3109)
  7125/7995  (google=2437 geosearch=3119)
  7150/7995  (google=2445 geosearch=3131)
  7175/7995  (google=2448 geosearch=3136)
  7200/7995  (google=2451 geosearch=3140)
  7225/7995  (google=2453 geosearch=3142)
  7250/7995  (google=2458 geosearch=3149)
  7275/7995  (google=2468 geosearch=3168)
  7300/7995  (google=2475 geosearch=3179)
  7325/7995  (google=2476 geosearch=3180)
  7350/7995  (google=2481 geosearch=3187)
  7375/7995  (google=2487 geosearch=3193)
  7400/7995  (google=2497 geosearch=3205)
  7425/7995  (google=2504 geosearch=3215)
  7450/7995  (google=2505 geosearch=3217)
  7475/7995  (google=2514 geosearch=3230)
  7500/7995  (google=2519 geosearch=3238)
  7525/7995  (google=2524 geosearch=3246)
  7550/7995  (google=2531 geosearch=3254)
  7575/7995  (google=2536 geosearch=3262)
  7600/7995  (google=2547 geosearch=3280)
  7625/7995  (google=2551 geosearch=3285)
  7650/7995  (google=2555 geosearch=3290)
  7675/7995  (google=2557 geosearch=3292)
  7700/7995  (google=2570 geosearch=3313)
  7725/7995  (google=2593 geosearch=3347)
  7750/7995  (google=2607 geosearch=3372)
  7775/7995  (google=2613 geosearch=3380)
  7800/7995  (google=2617 geosearch=3385)
  7825/7995  (google=2621 geosearch=3393)
  7850/7995  (google=2627 geosearch=3404)
  7875/7995  (google=2629 geosearch=3407)
  7900/7995  (google=2631 geosearch=3410)
  7925/7995  (google=2634 geosearch=3413)
  7950/7995  (google=2648 geosearch=3430)
  7975/7995  (google=2657 geosearch=3441)

Done. Google calls this run: 2661  GeoSearch calls: 3448
Results -> /private/tmp/claude-501/-Users-joshhadro-github-green-books/e2e0584d-0659-439c-bc1e-e83ac05a61ae/scratchpad/nyc_full_results.json
Cache -> /private/tmp/claude-501/-Users-joshhadro-github-green-books/e2e0584d-0659-439c-bc1e-e83ac05a61ae/scratchpad/nyc_geocode_cache.json
